ID_EXPERIMENTO	 ALGORITMO	 HYPER_VOLUME	 GD	 IGD	 SPREAD	 EPSILON	 CS.NSGA	 CS.SPEA	 CS.ILS	 CS.OPMOP	 CS.MILS	 TEMPO_EXEC	 DATA_HORA_EXECUCAO	 CENARIO	 TEMPO_SIMULACAO	 ALGORITMO 	 TAM_POP	 NUM_AVA_FUNC_OBJ	 PROB_CRUZ	 PROB_MUT	 NUM_OBJ	 TIPO_CODIFICACAO	 TIPO_CRUZAMENTO	 TIPO_MUTACAO	 CONJUNTO_OBJ
1	NSGA	0.34049774862822463	0.001253516750059792	0.0032594795045441578	0.7992283401421232	2919.0	 NA	0.3525	0.7	0.7681159420289855	0.4666666666666667	7143	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
2	NSGA	0.33904896831044656	0.0013780156645762415	0.0022780370826860105	0.8222248728234023	3430.0	 NA	0.1275	0.7666666666666667	0.7471264367816092	0.5882352941176471	7172	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
3	NSGA	0.3581721734168169	0.0012592444804813536	0.0026036467401723243	0.8006535439767265	748.0	 NA	0.2475	0.7333333333333333	0.8426966292134831	0.5714285714285714	8191	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
4	NSGA	0.3578694610422033	0.0012098215270559302	0.0023896932539868884	0.7817473405181615	1043.0	 NA	0.365	0.7333333333333333	0.8414634146341463	0.5384615384615384	7808	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
5	NSGA	0.34511511541430795	0.001177296196025662	0.0018288168459731434	0.6942917977589584	1009.0	 NA	0.3175	0.7333333333333333	0.7794117647058824	0.35714285714285715	7094	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
6	NSGA	0.34739264018007293	0.0012826700579905523	0.001994705026048014	0.7537934819633345	2149.0	 NA	0.415	0.8	0.7283950617283951	0.5714285714285714	6753	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
7	NSGA	0.35591747524266926	0.0012552429030423503	0.0016931740818614018	0.7967568325514418	1734.0	 NA	0.3979848866498741	0.8	0.8024691358024691	0.5	7334	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
8	NSGA	0.3577453300821148	0.0013604024836776074	0.0017203666141826428	0.6696492689149167	1357.0	 NA	0.26463104325699743	0.8	0.8571428571428571	0.42857142857142855	7750	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
9	NSGA	0.32898935211414243	0.0011054574161252064	0.003145061155863733	0.7880370312453248	4074.0	 NA	0.4117647058823529	0.8	0.875	0.7142857142857143	6723	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
10	NSGA	0.3462103354217191	0.0010593990341672493	0.0029658461091693717	0.7597917227902012	2650.0	 NA	0.40992167101827676	0.6666666666666666	0.7654320987654321	0.6153846153846154	7762	Mon_Dec_02_15	Min2.xml	60	NSGAII	200	20000	0.9	0.4	3	1	2	1	3.0
